sku,status,old_eur,new_eur,delta_eur,delta_pct,db_slug,title
ICM-440-K,CHANGED,2060.09,797.36,-1262.73,-61.3,do88-icm-440-k,"AUDI SEAT SKODA VW 1.8 / 2.0 TSI (MQB) Intercooler"
ICM-400,CHANGED,4895.22,5585.77,690.55,14.1,do88-icm-400,"Porsche 911 Turbo (992.1) Intercooler kit"
BIG-310-T,MINOR,5647.43,5858.27,210.84,3.7,do88-big-310-t,"BigPack Porsche 911 Turbo (992.1)"
LF-270,CHANGED,2272.74,2472.19,199.45,8.8,do88-lf-270,"do88 Intake system, BMW M2 M3 M4 G80 G82 G87 (S58)"
ICM-450-K,MINOR,2991.86,3109.12,117.26,3.9,do88-icm-450-k,"do88 Charge Cooler Manifold, BMW M2 M3 M4 G80 G82 G87 (S58)"
BIG-350-S,MINOR,1719.12,1783.39,64.27,3.7,do88-big-350-s,"BigPack Toyota Yaris GR"
ICM-390-S,MINOR,1313.1,1362.1,49,3.7,do88-icm-390-s,"Toyota Yaris GR Intercooler"
FBTW90-140P,CHANGED,80.28,45.32,-34.96,-43.5,do88-fbtw90-140p,"Grey Hoodie by do88"
MK-170-1,CHANGED,179.52,194.36,14.84,8.3,do88-mk-170-1,"Carbon fiber ECU cover, BMW M2 M3 M4 G80 G82 G87 (S58)"
LF-200-Filter,CHANGED,112.15,121.88,9.73,8.7,do88-lf-200-filter,"do88 Intake system Replacement Air Filter, LF-200 / LF-280"
TR-420,MINOR,853.57,844.83,-8.74,-1,do88-tr-420,"do88 Charge pipe, BMW M2 M3 M4 G80 G82 G87 (S58)"
LF-200-S,MINOR,706.93,698.53,-8.4,-1.2,do88-lf-200-s,"Toyota Yaris GR Intake system"
OC-200,MINOR,790.76,782.56,-8.2,-1,do88-oc-200,"do88 Engine oil cooler, BMW M2 M3 M4 G80 G82 G87 (S58)"
WC-430,MINOR,796.51,788.35,-8.16,-1,do88-wc-430,"do88 Front Intercooler Radiator, BMW M2 M3 M4 G80 G82 G87 (S58)"
do88-kit212ST-TT-66,MINOR,638.27,630.5,-7.77,-1.2,do88-do88-kit212st-tt-66,"Porsche 911 Turbo (992) Turbo inlet hoses"
TR-300-992,MINOR,636.69,629.1,-7.59,-1.2,do88-tr-300-992,"Porsche 911 Turbo / Carrera (992) Plenum"
TR-350-S-do88,MINOR,607.43,600.02,-7.41,-1.2,do88-tr-350-s-do88,"Toyota Yaris GR Pressure pipes for do88 IC, Black hoses"
