sku,status,old_eur,new_eur,delta_eur,delta_pct,db_slug,title
MK-120,CHANGED,515.8,558.14,42.34,8.2,do88-mk-120,"Audi RS3 8V.2 & 8Y / TTRS 8S Carbon fiber engine and manifold cover"
MK-160,CHANGED,475.1,514.8,39.7,8.4,do88-mk-160,"Carbon fiber engine cover, BMW M2 M3 M4 (S58)"
LF-150-SS,MINOR,1003.81,1041.39,37.58,3.7,do88-lf-150-ss,"BMW F8X M2C M3 M4 Intake system"
MK-140,CHANGED,401.14,434.69,33.55,8.4,do88-mk-140,"Carbon fiber engine cover, Toyota GR Supra A90 (B58)"
MK-110,CHANGED,383.48,414.99,31.51,8.2,do88-mk-110,"VW Golf MK7 GTI / R Carbon fiber engine cover"
MK-100,CHANGED,376.51,407.11,30.6,8.1,do88-mk-100,"VW Golf MK8 GTI / R Carbon fiber engine cover"
TR-150-OEMr,MINOR,551.21,578.39,27.18,4.9,do88-tr-150-oemr,"Porsche 997.1 Turbo Plenum, OEM throttle body"
TR-450-do88,MINOR,698.76,723.84,25.08,3.6,do88-tr-450-do88,"Porsche 911 Carrera (991.2) Y-Pipe"
IR-130S-48-OEM-R,CHANGED,175.62,196.6,20.98,11.9,do88-ir-130s-48-oem-r,"VAG 1.8/2.0 TSI (MQB) Turbo inletpipe, Black hose, OEM Turbo, OEM Airbox"
do88-kit213S-r,CHANGED,287.5,303.8,16.3,5.7,do88-do88-kit213s-r,"BMW 135i 335i 35i N55 2010-2013 (E9X E8X) Turbo Inlet hose 47mm"
do88-kit248S,CHANGED,67.74,83.79,16.05,23.7,do88-do88-kit248s,"Alpine A110 Inlet hose Black"
MK-170-1,CHANGED,179.52,194.36,14.84,8.3,do88-mk-170-1,"Carbon fiber ECU cover, BMW M2 M3 M4 G80 G82 G87 (S58)"
ACCDA100-220-01,MINOR,419.54,434.15,14.61,3.5,do88-accda100-220-01,"BMC CDA Carbon Dynamic Airbox, Carbon fiber, Connection 100mm, Length 224mm"
ICM-430-440-Kit,CHANGED,157.59,171.25,13.66,8.7,do88-icm-430-440-kit,"do88 Accessories for B58 Charge Cooler Manifold"
OC-180,MINOR,1041.45,1028.8,-12.65,-1.2,do88-oc-180,"Toyota Yaris GR Oil cooler for do88 Intercooler"
BIG-290-S,MINOR,1044.14,1031.56,-12.58,-1.2,do88-big-290-s,"BigPack BMW 135i 335i 35i N55 2010-2013 (E9X E8X)"
ICM-380-S,MINOR,1038.75,1026.18,-12.57,-1.2,do88-icm-380-s,"VAG 2.0 TSI EA888 Gen4 Intercooler"
ICM-380-VZ5,MINOR,1038.75,1026.18,-12.57,-1.2,do88-icm-380-vz5,"do88 Intercooler, CUPRA Formentor VZ5"
do88-kit179S-r,MINOR,954.1,942.62,-11.48,-1.2,do88-do88-kit179s-r,"Porsche 911 Turbo (991) 2013- Turbo inlet hoses"
LF-190-CF,MINOR,937.2,925.84,-11.36,-1.2,do88-lf-190-cf,"do88 V2 Intake System Carbon Fiber VAG EA888"
OC-100,MINOR,929.58,918.39,-11.19,-1.2,do88-oc-100,"BMW M3 E90 E92 Engine oil cooler Racing"
BIG-270-S,MINOR,921.86,910.74,-11.12,-1.2,do88-big-270-s,"BigPack BMW 135i 335i 35i N54 2007-2010 (E9X E8X)"
ICM-370,MINOR,908.02,896.95,-11.07,-1.2,do88-icm-370,"SAAB 9-5 2010-2011 Intercooler"
ICM-370-Insignia,MINOR,908.02,896.95,-11.07,-1.2,do88-icm-370-insignia,"Opel Insignia A / Buick Regal Intercooler"
do88-kit169S,MINOR,874.2,863.73,-10.47,-1.2,do88-do88-kit169s,"Porsche 997.2 Turbo 2010- Inlet hoses for turbo"
LF-190-PP,MINOR,482.81,472.38,-10.43,-2.2,do88-lf-190-pp,"do88 V2 Intake System Plastic VAG EA888"
6-53-10748,MINOR,290.19,300.34,10.15,3.5,do88-6-53-10748,"Setrab SlimLine oil cooler 14 row 420mm"
BIG-850-B-63r,MINOR,832.1,822.05,-10.05,-1.2,do88-big-850-b-63r,"BigPack Volvo 850, X70 Turbo 94-98, Blue hoses, 63mm throttle"
TR-130SI-do88r,MINOR,823.08,813.14,-9.94,-1.2,do88-tr-130si-do88r,"Porsche 997.2 Turbo 2010- Y-Pipe, Black for OEM IC"
TR-140SI-do88r,MINOR,823.08,813.14,-9.94,-1.2,do88-tr-140si-do88r,"Porsche 997.1 Turbo Y-Pipe, Silver for do88 ICM-230 IC"
TR-200SV-OEM-1-r,MINOR,825.59,815.66,-9.93,-1.2,do88-tr-200sv-oem-1-r,"Porsche 911 Turbo (991.1) 2013-15 Y-Pipe, Black for OEM IC"
TR-200SV-OEM-2-r,MINOR,825.59,815.66,-9.93,-1.2,do88-tr-200sv-oem-2-r,"Porsche 911 Turbo (991.2) 2015- Y-Pipe, Black for OEM IC"
WC-360,MINOR,819.84,809.93,-9.91,-1.2,do88-wc-360,"BMW F8X M3 M4 Side mounted Intercooler Radiator"
ICM-300-Br,MINOR,807.1,797.36,-9.74,-1.2,do88-icm-300-br,"AUDI SEAT SKODA VW 1.8 / 2.0 TSI (MQB) Intercooler, blue hoses"
LF-200-Filter,CHANGED,112.15,121.88,9.73,8.7,do88-lf-200-filter,"do88 Intake system Replacement Air Filter, LF-200 / LF-280"
ICM-180,MINOR,796.7,787.12,-9.58,-1.2,do88-icm-180,"Audi Seat Skoda VW 2.0T FSI Intercooler"
ACCDA85-150,MINOR,274.21,283.76,9.55,3.5,do88-accda85-150,"BMC CDA Carbon Dynamic Airbox, Carbon fiber, Connection 85mm, Length 200mm"
WC-400,MINOR,786.66,777.19,-9.47,-1.2,do88-wc-400,"do88 Front Intercooler Radiator, BMW G-Serie / Toyota GR Supra A90"
6-53-10747,MINOR,261.48,270.69,9.21,3.5,do88-6-53-10747,"Setrab SlimLine oil cooler 10 row 420mm"
ICM-280,MINOR,765.1,755.94,-9.16,-1.2,do88-icm-280,"BMW F20 F30 F87 Performance Intercooler"
WC-420,MINOR,732.22,723.34,-8.88,-1.2,do88-wc-420,"do88 Front Intercooler Radiator, BMW F-Serie"
ICM-350-S,MINOR,733.7,724.84,-8.86,-1.2,do88-icm-350-s,"BMW 135i 335i N54 N55 2007-2013 (E9X E82) Intercooler"
TR-420,MINOR,853.57,844.83,-8.74,-1,do88-tr-420,"do88 Charge pipe, BMW M2 M3 M4 G80 G82 G87 (S58)"
ICM-190,MINOR,713.44,704.78,-8.66,-1.2,do88-icm-190,"Volvo 240 Group-A replica intercooler"
ICM-220-S60,MINOR,710.38,701.77,-8.61,-1.2,do88-icm-220-s60,"Volvo S60 V60 Performance Intercooler"
ICM-220-V70,MINOR,710.38,701.77,-8.61,-1.2,do88-icm-220-v70,"Volvo V70 XC70 S80 2008-16 Performance Intercooler"
ACCDA70-130,MINOR,241.04,249.46,8.42,3.5,do88-accda70-130,"BMC CDA Carbon Dynamic Airbox, Carbon fiber, Connection 70mm, Length 185mm"
LF-200-S,MINOR,706.93,698.53,-8.4,-1.2,do88-lf-200-s,"Toyota Yaris GR Intake system"
ICM-290,MINOR,690.95,682.65,-8.3,-1.2,do88-icm-290,"Volvo S60 V60 XC60 2009-2017 Performance Intercooler"
ICM-160,MINOR,681.48,673.25,-8.23,-1.2,do88-icm-160,"Volvo S60 V70 XC70 S80 Turbo 00-09 Intercooler"
OC-200,MINOR,790.76,782.56,-8.2,-1,do88-oc-200,"do88 Engine oil cooler, BMW M2 M3 M4 G80 G82 G87 (S58)"
WC-430,MINOR,796.51,788.35,-8.16,-1,do88-wc-430,"do88 Front Intercooler Radiator, BMW M2 M3 M4 G80 G82 G87 (S58)"
ICM-110-TTID,MINOR,669.3,661.23,-8.07,-1.2,do88-icm-110-ttid,"SAAB 9-3 1,9 TTiD Intercooler"
ICM-110-V6,MINOR,669.3,661.23,-8.07,-1.2,do88-icm-110-v6,"SAAB 9-3 2.8t V6 2006- Intercooler"
ICM-110-VEV6,MINOR,669.3,661.23,-8.07,-1.2,do88-icm-110-vev6,"Opel Vectra C OPC V6 2005-08 Intercooler"
ICM-150,MINOR,653.7,645.8,-7.9,-1.2,do88-icm-150,"Volvo 700 900 Turbo 92-98 Intercooler"
do88-kit212ST-OE-66,MINOR,638.27,630.5,-7.77,-1.2,do88-do88-kit212st-oe-66,"Porsche 911 Carrera (992) Turbo inlet hoses, OE/do88 66mm airbox"
do88-kit212ST-TT-66,MINOR,638.27,630.5,-7.77,-1.2,do88-do88-kit212st-tt-66,"Porsche 911 Turbo (992) Turbo inlet hoses"
OC-130,MINOR,623.41,615.81,-7.6,-1.2,do88-oc-130,"BMW M2 Engine oil cooler Racing"
TR-210-997,MINOR,636.69,629.1,-7.59,-1.2,do88-tr-210-997,"Porsche 997.2 Turbo 2010- Plenum"
TR-300-9912,MINOR,636.69,629.1,-7.59,-1.2,do88-tr-300-9912,"Porsche 911 Turbo / Carrera (991) Plenum"
TR-300-992,MINOR,636.69,629.1,-7.59,-1.2,do88-tr-300-992,"Porsche 911 Turbo / Carrera (992) Plenum"
ICM-140,MINOR,621.36,613.94,-7.42,-1.2,do88-icm-140,"Volvo 200 700 900 Turbo 81-98 Intercooler"
TR-350-S-do88,MINOR,607.43,600.02,-7.41,-1.2,do88-tr-350-s-do88,"Toyota Yaris GR Pressure pipes for do88 IC, Black hoses"
OC-150,MINOR,599.8,592.5,-7.3,-1.2,do88-oc-150,"BMW M3 E46 Engine oil cooler Racing"
WC-190,MINOR,597.85,590.6,-7.25,-1.2,do88-wc-190,"BMW M3 E90 E92 Radiator Aluminum"
WC-320,MINOR,593.76,586.59,-7.17,-1.2,do88-wc-320,"AUDI SEAT SKODA VW 1.8 / 2.0 TSI (MQB) Radiator"
6-915,MINOR,202.2,209.29,7.09,3.5,do88-6-915,"Setrab Pro Line oil cooler 15 row 358mm"
AD140,CHANGED,80.47,87.41,6.94,8.6,do88-ad140,"Air ducting 5,5'' (140mm)"
OC-210,MINOR,671.54,664.64,-6.9,-1,do88-oc-210,"do88 Transmission cooler, BMW M2 M3 M4 G80 G82 G87 (S58)"
ICM-120,MINOR,570.81,563.94,-6.87,-1.2,do88-icm-120,"SAAB 9-5 98-10 Intercooler"
WC-350,MINOR,573.78,566.91,-6.87,-1.2,do88-wc-350,"BMW F8X M2C M3 M4 Front Intercooler Radiator"
WC-370,MINOR,566.54,559.69,-6.85,-1.2,do88-wc-370,"BMW 135i 335i 35i N54 N55 Automatic 2007-2013 (E9X E82 E89) Radiator"
WC-390,MINOR,566.54,559.69,-6.85,-1.2,do88-wc-390,"BMW 135i 335i 35i N54 N55 Manual 2007-2013 (E9X E82 E89) Radiator"
OC-170,MINOR,564.49,557.65,-6.84,-1.2,do88-oc-170,"BMW F8X M2C M3 M4 Engine oil cooler Racing"
OC-190,MINOR,553.72,546.96,-6.76,-1.2,do88-oc-190,"do88 Transmission cooler, BMW G-Series / Toyota GR Supra A90"
FB01075,MINOR,215.21,221.94,6.73,3.1,do88-fb01075," Porsche 992, BMC Model Adapted Air Filter"
TR-310-SST-OEr,MINOR,533.18,526.66,-6.52,-1.2,do88-tr-310-sst-oer,"Porsche 911 Turbo / Carrera (992) intercooler pipe kit, OE IC"
WC-280,MINOR,536.61,530.14,-6.47,-1.2,do88-wc-280,"BMW M2 Remote Radiator Aluminum"
LF-130-Filter,CHANGED,75.17,81.62,6.45,8.6,do88-lf-130-filter,"do88 Intake system Replacement Air Filter, LF-130"
OC-120,MINOR,531.04,524.59,-6.45,-1.2,do88-oc-120,"BMW M3 E90 E92 Power steering Oil cooler Racing"
OC-120-E46,MINOR,531.04,524.59,-6.45,-1.2,do88-oc-120-e46,"BMW M3 E46 Auxiliary Oil cooler Racing"
ICM-170,MINOR,531.32,524.92,-6.4,-1.2,do88-icm-170,"Volvo C30/S40/V50/C70 Turbo 04-13 Intercooler"
734408-6005,MINOR,529.56,523.18,-6.38,-1.2,do88-734408-6005,"Garrett Intercooler Core Air-Water (122 x 114 x 302 mm) - 1000 HP"
6-616,MINOR,179.61,185.89,6.28,3.5,do88-6-616,"Setrab Pro Line oil cooler 16 row 283mm"
873213-6002,MINOR,519.71,513.44,-6.27,-1.2,do88-873213-6002,"Garrett Intercooler Core Air-Water (183 x 91 x 249 mm) - 980 HP"
do88-kit141S,MINOR,515.99,509.72,-6.27,-1.2,do88-do88-kit141s,"Porsche 930 Turbo Oil hoses"
WC-440,MINOR,598.13,591.88,-6.25,-1,do88-wc-440,"do88 Auxiliary Radiator, BMW M2 M3 M4 G80 G82 G87 (S58)"
FB593-04,MINOR,202.57,208.81,6.24,3.1,do88-fb593-04," Porsche 997.2, BMC Model Adapted Air Filter"
FB798-20,MINOR,202.57,208.81,6.24,3.1,do88-fb798-20," Porsche 991 991.2, BMC Model Adapted Air Filter"
TR-340-3-r,MINOR,512.18,505.99,-6.19,-1.2,do88-tr-340-3-r,"AUDI SEAT SKODA VW 1.8 / 2.0 TSI (MQB) OEM IC Pressure pipes, Red hoses"
A3B90G100,CHANGED,70.53,76.7,6.17,8.7,do88-a3b90g100,"Aluminum pipe 90° 100x3 mm, short radius"
848054-6003,MINOR,509.86,503.71,-6.15,-1.2,do88-848054-6003,"Garrett Intercooler Core Air-Air (559 x 356 x 114 mm) - 1140 HP"
WC-330,MINOR,512.18,506.04,-6.14,-1.2,do88-wc-330,"VW Golf GTI Mk7 (MQB) Auxiliary DSG Radiator"
6-913,MINOR,174.78,180.86,6.08,3.5,do88-6-913,"Setrab Pro Line oil cooler 13 row 358mm"
WC-210-Aut,MINOR,503.63,497.56,-6.07,-1.2,do88-wc-210-aut,"Volvo S60 R V70 R S80 Automatic 99-08 Radiator"
6-119,MINOR,172.74,178.8,6.06,3.5,do88-6-119,"Setrab Pro Line oil cooler 19 row 163mm"
WC-220,MINOR,501.49,495.44,-6.05,-1.2,do88-wc-220,"SAAB 9-3 2.8T V6 2006- Radiator Aluminum"
WC-230,MINOR,501.49,495.44,-6.05,-1.2,do88-wc-230,"SAAB 9-3 2,0T 2003-  Radiator Aluminum"
do88-kit76S,MINOR,504.28,498.26,-6.02,-1.2,do88-do88-kit76s,"Porsche 997.1 TT/GT2 2007-09 Inlet hoses for turbo"
ADDIA85-150,MINOR,172.18,178.19,6.01,3.5,do88-addia85-150,"BMC DIA Direct Intake Airsystem, Plastic, Connection 85mm, Length 220mm"
ICM-100,MINOR,496.38,490.4,-5.98,-1.2,do88-icm-100,"SAAB 900/9-3 Turbo 94-02 Intercooler"
WC-200-4,MINOR,490.8,484.83,-5.97,-1.2,do88-wc-200-4,"Volvo 850/X70 Turbo Automatic 94-98 Radiator"
WC-210-Man,MINOR,490.8,484.83,-5.97,-1.2,do88-wc-210-man,"Volvo S60 R V70 R S80 99-08 Radiator"
FB473-04,MINOR,191.05,196.99,5.94,3.1,do88-fb473-04," Porsche 997 997.2, BMC Model Adapted Air Filter"
WC-410,MINOR,482.72,476.84,-5.88,-1.2,do88-wc-410,"do88 Auxiliary Radiator, BMW G-Serie / Toyota GR Supra A90"
WC-200-3,MINOR,477.89,472.09,-5.8,-1.2,do88-wc-200-3,"Volvo S70 V70 C70 Turbo 99-00 Radiator"
WC-290,MINOR,477.61,471.88,-5.73,-1.2,do88-wc-290,"BMW M235i M2 335i 435i Radiator Aluminum"
848054-6001,MINOR,468.04,462.34,-5.7,-1.2,do88-848054-6001,"Garrett Intercooler Core Air-Air (508 x 318 x 89 mm) - 870 HP"
848054-6005,MINOR,465.53,459.91,-5.62,-1.2,do88-848054-6005,"Garrett Intercooler Core Air-Air (333 x 218 x 127 mm) - 600 HP"
AD102,CHANGED,64.58,70.19,5.61,8.7,do88-ad102,"Air ducting 4'' (102mm)"
WC-340,MINOR,466.64,461.04,-5.6,-1.2,do88-wc-340,"Volvo V40 S60 V60 XC60 V70 XC70 S80 Radiator"
WC-200-1,MINOR,464.78,459.23,-5.55,-1.2,do88-wc-200-1,"Volvo 850/X70 Turbo Manual 94-98 Radiator"
AD89,CHANGED,62.63,68.11,5.48,8.7,do88-ad89,"Air ducting 3,5'' (89mm)"
703522-6005,MINOR,445.83,440.44,-5.39,-1.2,do88-703522-6005,"Garrett Intercooler Core Air-Air (610 x 307 x 114 mm) - 950 HP"
6-613,MINOR,154.62,160,5.38,3.5,do88-6-613,"Setrab Pro Line oil cooler 13 row 283mm"
6-910,MINOR,152.11,157.49,5.38,3.5,do88-6-910,"Setrab Pro Line oil cooler 10 row 358mm"
T9659,MINOR,438.86,433.51,-5.35,-1.2,do88-t9659,"GFB, DVX T9659 (Suits VW Mk7 Golf R and Audi 8V S3)"
WC-270,MINOR,443.78,438.43,-5.35,-1.2,do88-wc-270,"SAAB 9-5 02-10 Radiator"
WC-200-2,MINOR,439.05,433.74,-5.31,-1.2,do88-wc-200-2,"Volvo 850/X70 Manual 93-98 Radiator"
703522-6004,MINOR,433.47,428.27,-5.2,-1.2,do88-703522-6004,"Garrett Intercooler Core Air-Air (457 x 307 x 114 mm) - 785 HP"
6-116,MINOR,147.28,152.46,5.18,3.5,do88-6-116,"Setrab Pro Line oil cooler 16 row 163mm"
486827-6002,MINOR,426.13,420.97,-5.16,-1.2,do88-486827-6002,"Garrett Intercooler Core Air-Air (602 x 305 x 97 mm) - 1000 HP"
WC-240,MINOR,426.23,421.08,-5.15,-1.2,do88-wc-240,"Volvo 740 940 960 Manual 92-98 Radiator"
WC-300,MINOR,432.45,427.3,-5.15,-1.2,do88-wc-300,"SAAB 900/9-3 Turbo 1994-2002 Radiator"
OC-160,MINOR,420.92,415.8,-5.12,-1.2,do88-oc-160,"Saab 900 Turbo 1984-1993 Engine oil cooler"
T9025,MINOR,420.84,415.74,-5.1,-1.2,do88-t9025,"GFB, RESPONS TMS"
LF-260,MINOR,419.81,414.72,-5.09,-1.2,do88-lf-260,"do88 Intake system, BMW M140i M240i 340i 440i F3X"
703522-6008,MINOR,423.62,418.54,-5.08,-1.2,do88-703522-6008,"Garrett Intercooler Core Air-Air (457 x 284 x 114 mm) - 750 HP"
ADDIA70-130,MINOR,145.43,150.49,5.06,3.5,do88-addia70-130,"BMC DIA Direct Intake Airsystem, Plastic, Connection 70mm, Length 220mm"
TR-410,MINOR,421.76,416.7,-5.06,-1.2,do88-tr-410,"do88 Charge pipe, BMW F-Serie B58"
703520-6005,MINOR,416.28,411.24,-5.04,-1.2,do88-703520-6005,"Garrett Intercooler Core Air-Air (610 x 307 x 89 mm) - 925 HP"
VS-B-51-15,CHANGED,57.61,62.6,4.99,8.7,do88-vs-b-51-15,"Exhaust wrap 800 deg C, 51mm, 15m roll"
TR-390,MINOR,402.35,397.39,-4.96,-1.2,do88-tr-390,"do88 Charge pipe, BMW Z4 M40i G29 / Toyota GR Supra A90"
TR-390-GX,MINOR,402.35,397.39,-4.96,-1.2,do88-tr-390-gx,"do88 Charge pipe, BMW G-Serie (B58)"
AD83,CHANGED,56.41,61.28,4.87,8.6,do88-ad83,"Air ducting 3,25'' (83mm)"
WC-250,MINOR,392.41,387.65,-4.76,-1.2,do88-wc-250,"Volvo 240 740 940 Manual 75-98 Radiator"
703520-6011,MINOR,394.08,389.34,-4.74,-1.2,do88-703520-6011,"Garrett Intercooler Core Air-Air (610 x 267 x 89 mm) - 800 HP"
TR-400,MINOR,385.9,381.24,-4.66,-1.2,do88-tr-400,"do88 Charge pipe, BMW F & G-Serie B48 B46"
AD76,CHANGED,53.06,57.69,4.63,8.7,do88-ad76,"Air ducting 3'' (76mm)"
TR-240-SS,MINOR,377.63,373.05,-4.58,-1.2,do88-tr-240-ss,"BMW F8X M2C M3 M4 Intercooler pipes, Turbo-Intercooler"
do88-kit215ST,MINOR,381.26,376.74,-4.52,-1.2,do88-do88-kit215st,"Porsche 911 Turbo / Carrera (992) Pressure hoses"
AD65,CHANGED,50.09,54.47,4.38,8.7,do88-ad65,"Air ducting 2,5'' (63mm)"
do88-kit187Br,MINOR,365.74,361.38,-4.36,-1.2,do88-do88-kit187br,"AUDI SEAT SKODA VW 1.8 / 2.0 TSI (MQB) Coolant hoses (24 pcs) Blue"
703518-6005,MINOR,362.02,357.7,-4.32,-1.2,do88-703518-6005,"Garrett Intercooler Core Air-Air (610 x 307 x 76 mm) - 900 HP"
WC-260,MINOR,348.36,344.07,-4.29,-1.2,do88-wc-260,"SAAB 900 Turbo 1979-1993 Radiator"
LF-130-V40,MINOR,351.24,347.06,-4.18,-1.2,do88-lf-130-v40,"Volvo V40 T4 T5 Turbo 2013-2015 Intake system"
LF-130-V50,MINOR,351.24,347.06,-4.18,-1.2,do88-lf-130-v50,"Volvo C30/C70/S40/V50 T5 Turbo 2004-13 Intake system"
LF-130-V70,MINOR,351.24,347.06,-4.18,-1.2,do88-lf-130-v70,"Volvo S60/V60/V70/S80 T5 2.5T 2.5FT 2008-15 Intake system"
F25-4M,MINOR,347.15,342.98,-4.17,-1.2,do88-f25-4m,"Silicone Hose Blue Flexible 1,0'' (25mm), 4 Meter"
SF25-4M,MINOR,347.15,342.98,-4.17,-1.2,do88-sf25-4m,"Silicone Hose Black Flexible 1,0'' (25mm), 4 Meter"
703520-6002,MINOR,347.25,343.1,-4.15,-1.2,do88-703520-6002,"Garrett Intercooler Core Air-Air (356 x 307 x 89 mm) - 550 HP"
703521-6003,MINOR,339.91,335.8,-4.11,-1.2,do88-703521-6003,"Garrett Intercooler Core Air-Air (254 x 312 x 114 mm) - 375 HP"
AD51,CHANGED,46.64,50.72,4.08,8.7,do88-ad51,"Air ducting 2'' (51mm)"
848054-6024,MINOR,334.98,330.94,-4.04,-1.2,do88-848054-6024,"Garrett Intercooler Core Air-Air (330 x 259 x 102 mm) - 600 HP"
